Problem:    Magazzini
Rows:       101
Columns:    71 (70 integer, 70 binary)
Non-zeros:  406
Status:     INTEGER OPTIMAL
Objective:  z = 630 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[Tolosa,Tolosa]
                    *              1             0             1 
     2 x[Nizza,Tolosa]
                    *              0             0             1 
     3 x[Marsiglia,Tolosa]
                    *              0             0             1 
     4 x[Lione,Tolosa]
                    *              0             0             1 
     5 x[Limoges,Tolosa]
                    *              0             0             1 
     6 x[Digione,Tolosa]
                    *              0             0             1 
     7 x[Parigi,Tolosa]
                    *              0             0             1 
     8 x[Tolosa,Nizza]
                    *              0             0             1 
     9 x[Nizza,Nizza]
                    *              1             0             1 
    10 x[Marsiglia,Nizza]
                    *              0             0             1 
    11 x[Lione,Nizza]
                    *              0             0             1 
    12 x[Limoges,Nizza]
                    *              0             0             1 
    13 x[Digione,Nizza]
                    *              0             0             1 
    14 x[Parigi,Nizza]
                    *              0             0             1 
    15 x[Tolosa,Marsiglia]
                    *              0             0             1 
    16 x[Nizza,Marsiglia]
                    *              0             0             1 
    17 x[Marsiglia,Marsiglia]
                    *              1             0             1 
    18 x[Lione,Marsiglia]
                    *              0             0             1 
    19 x[Limoges,Marsiglia]
                    *              0             0             1 
    20 x[Digione,Marsiglia]
                    *              0             0             1 
    21 x[Parigi,Marsiglia]
                    *              0             0             1 
    22 x[Tolosa,Lione]
                    *              0             0             1 
    23 x[Nizza,Lione]
                    *              0             0             1 
    24 x[Marsiglia,Lione]
                    *              0             0             1 
    25 x[Lione,Lione]
                    *              1             0             1 
    26 x[Limoges,Lione]
                    *              0             0             1 
    27 x[Digione,Lione]
                    *              0             0             1 
    28 x[Parigi,Lione]
                    *              0             0             1 
    29 x[Tolosa,Limoges]
                    *              0             0             1 
    30 x[Nizza,Limoges]
                    *              0             0             1 
    31 x[Marsiglia,Limoges]
                    *              0             0             1 
    32 x[Lione,Limoges]
                    *              0             0             1 
    33 x[Limoges,Limoges]
