Problem:    LinearOrdering2
Rows:       253
Columns:    42 (42 integer, 42 binary)
Non-zeros:  756
Status:     INTEGER OPTIMAL
Objective:  pesoMinimo = 662 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
                                   2                           2 
   124 noCiclo[5,1,6]
                                   1                           2 
   125 noCiclo[5,1,7]
                                   2                           2 
   126 noCiclo[5,2,1]
                                   2                           2 
   127 noCiclo[5,2,3]
                                   2                           2 
   128 noCiclo[5,2,4]
                                   2                           2 
   129 noCiclo[5,2,6]
                                   1                           2 
   130 noCiclo[5,2,7]
                                   2                           2 
   131 noCiclo[5,3,1]
                                   2                           2 
   132 noCiclo[5,3,2]
                                   1                           2 
   133 noCiclo[5,3,4]
                                   2                           2 
   134 noCiclo[5,3,6]
                                   1                           2 
   135 noCiclo[5,3,7]
                                   2                           2 
   136 noCiclo[5,4,1]
                                   1                           2 
   137 noCiclo[5,4,2]
                                   1                           2 
   138 noCiclo[5,4,3]
                                   1                           2 
   139 noCiclo[5,4,6]
                                   1                           2 
   140 noCiclo[5,4,7]
                                   1                           2 
   141 noCiclo[5,6,1]
                                   2                           2 
   142 noCiclo[5,6,2]
                                   2                           2 
   143 noCiclo[5,6,3]
                                   2                           2 
   144 noCiclo[5,6,4]
                                   2                           2 
   145 noCiclo[5,6,7]
                                   2                           2 
   146 noCiclo[5,7,1]
                                   1                           2 
   147 noCiclo[5,7,2]
                                   1                           2 
   148 noCiclo[5,7,3]
                                   1                           2 
   149 noCiclo[5,7,4]
                                   2                           2 
   150 noCiclo[5,7,6]
                                   1                           2 
   151 noCiclo[6,1,2]
                                   1                           2 
   152 noCiclo[6,1,3]
                                   1                           2 
   153 noCiclo[6,1,4]
                                   2                           2 
   154 noCiclo[6,1,5]
                                   2                           2 
   155 noCiclo[6,1,7]
                                   2                           2 
   156 noCiclo[6,2,1]
                                   2                           2 
   157 noCiclo[6,2,3]
                                   2                           2 
   158 noCiclo[6,2,4]
                                   2                           2 
   159 noCiclo[6,2,5]
                                   2                           2 
   160 noCiclo[6,2,7]
                                   2                           2 
   161 noCiclo[6,3,1]
                                   2                           2 
   162 noCiclo[6,3,2]
                                   1                           2 
   163 noCiclo[6,3,4]
                                   2                           2 
   164 noCiclo[6,3,5]
                                   2                           2 
   165 noCiclo[6,3,7]
                                   2                           2 
   166 noCiclo[6,4,1]
                                   1                           2 
   167 noCiclo[6,4,2]
                                   1                           2 
   168 noCiclo[6,4,3]
                                   1                           2 
   169 noCiclo[6,4,5]
                                   2                           2 
   170 noCiclo[6,4,7]
                                   1                           2 
   171 noCiclo[6,5,1]
                                   1                           2 
   172 noCiclo[6,5,2]
                                   1                           2 
   173 noCiclo[6,5,3]
                                   1                           2 
   174 noCiclo[6,5,4]
                                   1                           2 
   175 noCiclo[6,5,7]
                                   1                           2 
   176 noCiclo[6,7,1]
                                   1                           2 
   177 noCiclo[6,7,2]
                                   1                           2 
   178 noCiclo[6,7,3]
                                   1                           2 
   179 noCiclo[6,7,4]
                                   2                           2 
   180 noCiclo[6,7,5]
                                   2                           2 
   181 noCiclo[7,1,2]
                                   1                           2 
   182 noCiclo[7,1,3]
                                   1                           2 
   183 noCiclo[7,1,4]
                                   1                           2 
   184 noCiclo[7,1,5]
                                   1                           2 
   185 noCiclo[7,1,6]
                                   1                           2 
   186 noCiclo[7,2,1]
                                   2                           2 
   187 noCiclo[7,2,3]
                                   2                           2 
   188 noCiclo[7,2,4]
                                   1                           2 
   189 noCiclo[7,2,5]
                                   1                           2 
   190 noCiclo[7,2,6]
                                   1                           2 
   191 noCiclo[7,3,1]
                                   2                           2 
   192 noCiclo[7,3,2]
                                   1                           2 
   193 noCiclo[7,3,4]
                                   1                           2 
   194 noCiclo[7,3,5]
                                   1                           2 
   195 noCiclo[7,3,6]
                                   1                           2 
   196 noCiclo[7,4,1]
                                   2                           2 
   197 noCiclo[7,4,2]
                                   2                           2 
   198 noCiclo[7,4,3]
                                   2                           2 
   199 noCiclo[7,4,5]
                                   2                           2 
   200 noCiclo[7,4,6]
                                   2                           2 
   201 noCiclo[7,5,1]
                                   2                           2 
   202 noCiclo[7,5,2]
                                   2                           2 
   203 noCiclo[7,5,3]
                                   2                           2 
   204 noCiclo[7,5,4]
                                   1                           2 
   205 noCiclo[7,5,6]
                                   2                           2 
   206 noCiclo[7,6,1]
                                   2                           2 
   207 noCiclo[7,6,2]
                                   2                           2 
   208 noCiclo[7,6,3]
                                   2                           2 
   209 noCiclo[7,6,4]
                                   1                           2 
   210 noCiclo[7,6,5]
                                   1                           2 
   211 orientamento[1,2]
                                   1             1             = 
   212 orientamento[1,3]
                                   1             1             = 
   213 orientamento[1,4]
                                   1             1             = 
   214 orientamento[1,5]
                                   1             1             = 
   215 orientamento[1,6]
                                   1             1             = 
   216 orientamento[1,7]
                                   1             1             = 
   217 orientamento[2,1]
                                   1             1             = 
   218 orientamento[2,3]
                                   1             1             = 
   219 orientamento[2,4]
                                   1             1             = 
   220 orientamento[2,5]
                                   1             1             = 
   221 orientamento[2,6]
                                   1             1             = 
   222 orientamento[2,7]
                                   1             1             = 
   223 orientamento[3,1]
                                   1             1             = 
   224 orientamento[3,2]
                                   1             1             = 
   225 orientamento[3,4]
                                   1             1             = 
   226 orientamento[3,5]
                                   1             1             = 
   227 orientamento[3,6]
                                   1             1             = 
   228 orientamento[3,7]
                                   1             1             = 
   229 orientamento[4,1]
                                   1             1             = 
   230 orientamento[4,2]
                                   1             1             = 
   231 orientamento[4,3]
                                   1             1             = 
   232 orientamento[4,5]
                                   1             1             = 
   233 orientamento[4,6]
                                   1             1             = 
   234 orientamento[4,7]
                                   1             1             = 
   235 orientamento[5,1]
                                   1             1             = 
   236 orientamento[5,2]
                                   1             1             = 
   237 orientamento[5,3]
                                   1             1             = 
   238 orientamento[5,4]
                                   1             1             = 
   239 orientamento[5,6]
                                   1             1             = 
   240 orientamento[5,7]
                                   1             1             = 
   241 orientamento[6,1]
                                   1             1             = 
   242 orientamento[6,2]
                                   1             1             = 
   243 orientamento[6,3]
                                   1             1             = 
   244 orientamento[6,4]
                                   1             1             = 
   245 orientamento[6,5]
                                   1             1             = 
   246 orientamento[6,7]
                                   1             1             = 
   247 orientamento[7,1]
                                   1             1             = 
   248 orientamento[7,2]
                                   1             1             = 
   249 orientamento[7,3]
                                   1             1             = 
   250 orientamento[7,4]
                                   1             1             = 
   251 orientamento[7,5]
                                   1             1             = 
   252 orientamento[7,6]
                                   1             1             = 
   253 pesoMinimo                662                             

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[3,1]       *              1             0             1 
     2 x[2,3]       *              0             0             1 
     3 x[1,2]       *              1             0             1 
     4 x[4,1]       *              0             0             1 
     5 x[2,4]       *              0             0             1 
     6 x[5,1]       *              0             0             1 
     7 x[2,5]       *              0             0             1 
     8 x[6,1]       *              0             0             1 
     9 x[2,6]       *              0             0             1 
    10 x[7,1]       *              0             0             1 
    11 x[2,7]       *              0             0             1 
    12 x[2,1]       *              0             0             1 
    13 x[3,2]       *              1             0             1 
    14 x[1,3]       *              0             0             1 
    15 x[3,4]       *              1             0             1 
    16 x[3,5]       *              1             0             1 
    17 x[3,6]       *              1             0             1 
    18 x[3,7]       *              1             0             1 
    19 x[4,2]       *              1             0             1 
    20 x[1,4]       *              1             0             1 
    21 x[4,3]       *              0             0             1 
    22 x[4,5]       *              1             0             1 
    23 x[4,6]       *              1             0             1 
    24 x[4,7]       *              0             0             1 
    25 x[5,2]       *              1             0             1 
    26 x[1,5]       *              1             0             1 
    27 x[5,3]       *              0             0             1 
    28 x[5,4]       *              0             0             1 
    29 x[5,6]       *              1             0             1 
    30 x[5,7]       *              0             0             1 
    31 x[6,2]       *              1             0             1 
    32 x[1,6]       *              1             0             1 
    33 x[6,3]       *              0             0             1 
    34 x[6,4]       *              0             0             1 
    35 x[6,5]       *              0             0             1 
    36 x[6,7]       *              0             0             1 
    37 x[7,2]       *              1             0             1 
    38 x[1,7]       *              1             0             1 
    39 x[7,3]       *              0             0             1 
    40 x[7,4]       *              1             0             1 
    41 x[7,5]       *              1             0             1 
    42 x[7,6]       *              1             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

End of output
