Problem:    PLI0362
Rows:       365
Columns:    49 (49 integer, 49 binary)
Non-zeros:  1099
Status:     INTEGER OPTIMAL
Objective:  z = 662 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 completo[1,2]
                                   1             1               
     2 completo[1,3]
                                   1             1               
     3 completo[1,4]
                                   1             1               
     4 completo[1,5]
                                   1             1               
     5 completo[1,6]
                                   1             1               
     6 completo[1,7]
                                   1             1               
     7 completo[2,3]
                                   1             1               
     8 completo[2,4]
                                   1             1               
     9 completo[2,5]
                                   1             1               
    10 completo[2,6]
                                   1             1               
    11 completo[2,7]
                                   1             1               
    12 completo[3,4]
                                   1             1               
    13 completo[3,5]
                                   1             1               
    14 completo[3,6]
                                   1             1               
    15 completo[3,7]
                                   1             1               
    16 completo[4,5]
                                   1             1               
    17 completo[4,6]
                                   1             1               
    18 completo[4,7]
                                   1             1               
    19 completo[5,6]
                                   1             1               
    20 completo[5,7]
                                   1             1               
    21 completo[6,7]
                                   1             1               
   130 ciclo[3,2,4]                1                           2 
   131 ciclo[3,2,5]                1                           2 
   132 ciclo[3,2,6]                1                           2 
   133 ciclo[3,2,7]                1                           2 
   134 ciclo[3,3,1]                1                           2 
   135 ciclo[3,3,2]                1                           2 
   136 ciclo[3,3,3]                0                           2 
   137 ciclo[3,3,4]                1                           2 
   138 ciclo[3,3,5]                1                           2 
   139 ciclo[3,3,6]                1                           2 
   140 ciclo[3,3,7]                1                           2 
   141 ciclo[3,4,1]                1                           2 
   142 ciclo[3,4,2]                2                           2 
   143 ciclo[3,4,3]                1                           2 
   144 ciclo[3,4,4]                1                           2 
   145 ciclo[3,4,5]                2                           2 
   146 ciclo[3,4,6]                2                           2 
   147 ciclo[3,4,7]                1                           2 
   148 ciclo[3,5,1]                1                           2 
   149 ciclo[3,5,2]                2                           2 
   150 ciclo[3,5,3]                1                           2 
   151 ciclo[3,5,4]                1                           2 
   152 ciclo[3,5,5]                1                           2 
   153 ciclo[3,5,6]                2                           2 
