
 LP OPTIMUM FOUND AT STEP      1

        OBJECTIVE FUNCTION VALUE

        1)      413.1116

  VARIABLE        VALUE          REDUCED COST
        P1       142.285721          0.000000
        P2       149.502884          0.000000
        P3       121.322960          0.000000
        X1         0.000000          0.016071
        X2        68.571426          0.000000
        X3       225.714279          0.000000
        X4         0.000000          0.092857
        X5       119.421967          0.000000
        X6       187.398849          0.000000
        X7        82.774567          0.000000
        X8        50.404625          0.000000
        X9       143.968872          0.000000
       X10       150.972763          0.000000
       X11        92.217896          0.000000
       X12         0.000000          0.047082


       ROW   SLACK OR SURPLUS     DUAL PRICES
      USA)         0.000000         -1.000000
      EUR)         0.000000         -1.000000
      JAP)         0.000000         -1.000000
      MMA)        36.714287          0.000000
      DDS)         0.000000          0.125000
       RP)         0.000000          1.642857
      MLF)        46.000000          0.000000
       CA)         0.000000          0.084393
        E)         0.000000          0.240462
       NP)         0.000000          0.292486
      BFC)         0.000000          0.939884
       KA)         0.000000          0.505837
       SF)         0.000000          0.229572
       MW)       142.840469          0.000000
      NSC)         0.000000          0.346303
   BUDGET)         8.554752          0.000000

 NO. ITERATIONS=       1

