 Global optimal solution found at step:           105
 Objective value:                            141.0000
 Branch count:                                      2

                       Variable           Value        Reduced Cost
                           MAXT        240.0000           0.0000000
                       T( 8, 1)        89.00000           0.0000000
                       T( 8, 2)        89.00000           0.0000000
                       T( 8, 3)        76.00000           0.0000000
                       T( 8, 4)        66.00000           0.0000000
                       T( 9, 1)        80.00000           0.0000000
                       T( 9, 2)        90.00000           0.0000000
                       T( 9, 3)        90.00000           0.0000000
                       T( 9, 4)        77.00000           0.0000000
                      T( 10, 1)        63.00000           0.0000000
                      T( 10, 2)        63.00000           0.0000000
                      T( 10, 3)        62.00000           0.0000000
                      T( 10, 4)        60.00000           0.0000000
                      T( 11, 1)        67.00000           0.0000000
                      T( 11, 2)        65.00000           0.0000000
                      T( 11, 3)        63.00000           0.0000000
                      T( 11, 4)        63.00000           0.0000000
                      T( 12, 1)        76.00000           0.0000000
                      T( 12, 2)        76.00000           0.0000000
                      T( 12, 3)        76.00000           0.0000000
                      T( 12, 4)        75.00000           0.0000000

                            Row    Slack or Surplus      Dual Price
                              1        141.0000            1.000000
                              2        3.000000           0.0000000
                              3        13.00000           0.0000000
                              4        6.000000           0.0000000
                              5        23.00000           0.0000000
                              6       0.0000000           0.0000000
                              7       0.0000000           0.0000000
                              8       0.0000000           0.0000000
                              9       0.0000000           0.0000000
                             10       0.0000000           0.0000000
                             11       0.0000000           0.0000000
                             12       0.0000000           0.0000000
                             13       0.0000000           0.0000000
                             14       0.0000000           0.0000000
                             15       0.0000000           0.0000000
                             16       0.0000000           0.0000000
                             17       0.0000000           0.0000000

